"fr","en"
"Épaisseur courbe Y2","Y2 curve thickness"
"Erreur modèle mixte","Mixed model error"
"Erreur stockage ACP","PCA storage error"
"Erreur stockage AFD","LDA storage error"
"Ex. Prix trop élevé","e.g. Price too high"
"Explication modérée","Moderate explanation"
"Export du graphique","Plot export"
"Groupes discriminés","Discriminated groups"
"HCPC sur moyennes :","HCPC on means:"
"Livre de codes vide","Empty codebook"
"MANOVA paramétrique","Parametric MANOVA"
"Marges du graphique","Plot margins"
"Modèle mixte (GLMM)","Mixed model (GLMM)"
"Modèle significatif","Significant model"
"Modérée (0.30-0.50)","Moderate (0.30-0.50)"
"Moins de deux codes","Fewer than two codes"
"Nom du label axe Y2","Y2 axis label name"
"Nombre de classes :","Number of classes:"
"Nombre de modalités","Number of categories"
"Options des valeurs","Value options"
"Ordre de la légende","Legend order"
"Paramètres du seuil","Threshold settings"
"Plutôt pas d'accord","Somewhat disagree"
"Problèmes détectés:","Problems detected:"
"Régression multiple","Multiple regression"
"Répondants complets","Complete respondents"
"Restitution limitée","Limited restitution"
"Résumé de détection","Detection summary"
"Résumé de l'analyse","Analysis summary"
"Risque chez exposés","Risk among exposed"
"T0 aucun désherbage","T0 no weeding"
"T5 paillage végétal","T5 plant mulching"
"Taille des éléments","Element size"
"Taille nécessaire :","Required size:"
"Test non applicable","Test not applicable"
"Test t impossible :","t-test not possible:"
"Tous les tableaux :","All tables:"
"Très bon ajustement","Very good fit"
"Très forte (> 0.70)","Very strong (> 0.70)"
"Trop peu de paires.","Too few pairs."
"Valeur du seuil (%)","Threshold value (%)"
"Valeurs négatives :","Negative values:"
"Variables nominales","Nominal variables"
"Variables totales :","Total variables:"
"1 variable réponse Y","1 Y response variable"
"Activer l'agrégation","Enable aggregation"
"Afficher les valeurs","Show values"
"Ajustement à nuancer","Fit to be qualified"
"Aperçu du dispositif","Design preview"
"Assistant de Formule","Formula assistant"
"Aucune donnée valide","No valid data"
"Avancement du codage","Coding progress"
"Classes mal séparées","Poorly separated classes"
"Colinéarité parfaite","Perfect collinearity"
"Colonne (gradient 2)","Column (gradient 2)"
"Développer / Réduire","Expand / Collapse"
"Écart à la normalité","Departure from normality"
"Échec de la fusion :","Merge failed:"
"Entraînement du LSTM","LSTM training"
"Épaisseur des axes :","Axis thickness:"
"Erreur graphique ACP","PCA plot error"
"Erreur stockage HCPC","HCPC storage error"
"ET enherbe permanent","AND permanent grass cover"
"Export des résultats","Results export"
"Filtrage des données","Data filtering"
"Fusionner les essais","Merge the trials"
"Graduations des axes","Axis ticks"
"Groupes homogènes --","Homogeneous groups --"
"Hauteur d'agrégation","Aggregation height"
"IC95% du V de Cramér","95% CI of Cramér's V"
"Largeur des branches","Branch width"
"Ligne hors limites :","Row out of bounds:"
"Lignes (jeu complet)","Rows (full dataset)"
"Matrice de confusion","Confusion matrix"
"Méthode de découpage","Binning method"
"Méthode de détection","Detection method"
"Modalités distinctes","Distinct categories"
"Modalités du facteur","Factor categories"
"Modalités et groupes","Categories and groups"
"Modéré (0,09 - 0,25)","Moderate (0.09 - 0.25)"
"Nombre de facteurs :","Number of factors:"
"Non-centralité λ / δ","Non-centrality λ / δ"
"Optimale généralisée","Generalised optimal"
"Option la plus citée","Most cited option"
"Ordre personnalisé :","Custom order:"
"Paires colinéaires :","Collinear pairs:"
"Pas du tout d'accord","Strongly disagree"
"PERMANOVA par paires","Pairwise PERMANOVA"
"PERMANOVA stratifiée","Stratified PERMANOVA"
"PERMANOVA terminée :","PERMANOVA completed:"
"PROFIL DES DONNÉES :","DATA PROFILE:"
"Qualité d'ajustement","Goodness of fit"
"Quantiles théoriques","Theoretical quantiles"
"Rapport de variances","Variance ratio"
"Réponse catégorielle","Categorical response"
"Réponse multinomiale","Multinomial response"
"Résidus de Pearson :","Pearson residuals:"
"Résidus indépendants","Independent residuals"
"Résidus standardisés","Standardised residuals"
"Sélection du facteur","Factor selection"
"T0 témoin non traité","T0 untreated control"
"Test de Bartlett (p)","Bartlett's test (p)"
"Test exact de Fisher","Fisher's exact test"
"Test utilisé (rangs)","Test used (ranks)"
"Thèmes identifiés --","Topics identified --"
"Titre & probabilités","Title & probabilities"
"Titres et étiquettes","Titles and labels"
"Tout à fait d'accord","Strongly agree"
"Type de graphique Y2","Y2 plot type"
"Valeurs manquantes :","Missing values:"
"Variables logiques :","Logical variables:"
"Variables retirées :","Removed variables:"
"Variables Y actives:","Active Y variables:"
"1 réponse Y numérique","1 numeric Y response"
"Répartition --","Distribution --"
"Accuracy entraînement","Training accuracy"
"Adéquation acceptable","Acceptable fit"
"Afficher les outliers","Show outliers"
"Appliquer le recodage","Apply the recoding"
"Aucune donnée valide.","No valid data."
"Aucune valeur trouvée","No value found"
"Bloc de Fisher (RCBD)","Fisher block (RCBD)"
"Bon pouvoir prédictif","Good predictive power"
"Catalogue de méthodes","Method catalogue"
"Classes bien séparées","Well separated classes"
"CONTEXTE DE L'ÉTUDE :","STUDY CONTEXT:"
"Données insuffisantes","Insufficient data"
"Données très adaptées","Data very suitable"
"Éléments du Graphique","Plot elements"
"Équitabilité (Pielou)","Evenness (Pielou)"
"Erreur dans le calcul","Error in the computation"
"Erreur dataframes ACP","PCA dataframe error"
"Erreur dataframes AFD","LDA dataframe error"
"Erreur effets simples","Simple effects error"
"F1D15 1 fois à 15 JAS","F1D15 once at 15 DAS"
"F1D30 1 fois à 30 JAS","F1D30 once at 30 DAS"
"F1D45 1 fois à 45 JAS","F1D45 once at 45 DAS"
"Fréquence du mode (%)","Mode frequency (%)"
"Imputation appliquée.","Imputation applied."
"Le rapport contiendra","The report will contain"
"Lignes (observations)","Rows (observations)"
"MANOVA (paramétrique)","MANOVA (parametric)"
"Méthode de Traitement","Treatment method"
"Modèle non sur-ajuste","Model not overfitted"
"Nature de la variable","Variable nature"
"Nombre de traitements","Number of treatments"
"Non calculée (n>5000)","Not computed (n>5000)"
"Nouvelle étiquette...","New label..."
"Observé vs attendu --","Observed vs expected --"
"Palette de couleurs :","Colour palette:"
"Partition peu séparée","Poorly separated partition"
"Points de vigilance :","Points to watch:"
"Position dans le bloc","Position within the block"
"PostHoc multivarié --","Multivariate post hoc --"
"Probabilités a priori","Prior probabilities"
"Q2 (prédictivité, CV)","Q2 (predictivity, CV)"
"Qualité du modèle PLS","PLS model quality"
"Recommandé : p min. 2","Recommended: p min. 2"
"Renommer une Variable","Rename a variable"
"Sélectionnez au moins","Select at least"
"Statistiques résumées","Summary statistics"
"Synthèse par groupe :","Summary by group:"
"Taille par groupe (n)","Size per group (n)"
"Taux de faux positifs","False positive rate"
"Test chi² en cours...","Chi-square test running..."
"Titre du graphique...","Plot title..."
"Unités par répétition","Units per replicate"
"Valeur de référence :","Reference value:"
"Variable analysée (Y)","Analysed variable (Y)"
"Variables minimales :","Minimum variables:"
"Variables observées :","Observed variables:"
"Variables suggérées :","Suggested variables:"
"Variance nulle pour :","Zero variance for:"
"2 variables distinctes","2 distinct variables"
"AFDM -- données mixtes","FAMD -- mixed data"
"Afficher _MENU_ lignes","Show _MENU_ rows"
"Agrégation des Données","Data aggregation"
"Aperçu de la formule :","Formula preview:"
"Association très forte","Very strong association"
"Blocs très concordants","Highly concordant blocks"
"Centroïdes des groupes","Group centroids"
"Chargement des données","Data loading"
"Choisissez la colonne.","Choose the column."
"Composition du tableau","Table composition"
"Corrélation de Kendall","Kendall correlation"
"Critère de comparaison","Comparison criterion"
"Dernière mise à jour :","Last updated:"
"Dictionnaire des codes","Code dictionary"
"Dimensions à retenir :","Dimensions to keep:"
"Discrimination modérée","Moderate discrimination"
"Échec de la rotation :","Rotation failed:"
"Équilibre des clusters","Cluster balance"
"Erreur dans la formule","Error in the formula"
"Ex. id, ou site, année","e.g. id, or site, year"
"Imputation multivariée","Multivariate imputation"
"Médiane globale (rang)","Overall median (rank)"
"Modalité / combinaison","Category / combination"
"Mode catégoriel activé","Categorical mode on"
"Mots/réponse (médiane)","Words/response (median)"
"Mots/réponse (moyenne)","Words/response (mean)"
"Naïf (dernière valeur)","Naive (last value)"
"Nombre de clusters k :","Number of clusters k:"
"OR doit différer de 1.","OR must differ from 1."
"Paramètres incomplets.","Incomplete settings."
"Pas axe X (numérique):","X axis step (numeric):"
"Profil de l'échelle --","Scale profile --"
"Pseudo-R2 (séparation)","Pseudo-R2 (separation)"
"Puissance réelle (1-β)","Actual power (1-β)"
"Re-tirer l'échantillon","Redraw the sample"
"Répartition acceptable","Acceptable distribution"
"Résultats des tests --","Test results --"
"Sélection effet simple","Simple effect selection"
"Seuil d'efficacité (%)","Efficacy threshold (%)"
"Supprimer une Variable","Delete a variable"
"T0 témoin non désherbé","T0 unweeded control"
"Taille (pouces, carré)","Size (inches, square)"
"Taille police du titre","Title font size"
"Taux de bon classement","Correct classification rate"
"Taux de vrais positifs","True positive rate"
"Test z (1 échantillon)","z-test (1 sample)"
"Traits mal discriminés","Poorly discriminated traits"
"Très asym., rendements","Highly skewed, yields"
"Type de plan inconnu :","Unknown design type:"
"Variables numériques :","Numeric variables:"
"Variables qualitatives","Qualitative variables"
"7. Analyse de sentiment","7. Sentiment analysis"
"Actualiser le Graphique","Refresh the plot"
"Affichage des résultats","Results display"
"Afficher courbe densité","Show density curve"
"Appliquer le traitement","Apply the treatment"
"Appliquer le Traitement","Apply the treatment"
"Association négligeable","Negligible association"
"Aucun pouvoir prédictif","No predictive power"
"Carte des clusters HCPC","HCPC cluster map"
"Choisissez 2 variables.","Choose 2 variables."
"Choisissez un facteur à","Choose a factor to"
"Classe très minoritaire","Very small class"
"Colonnes incompatibles.","Incompatible columns."
"Comparer les 3 méthodes","Compare the 3 methods"
"Contexte de l'enquête :","Survey context:"
"Couleur (un seul essai)","Colour (single trial)"
"Courbe évolution saison","Seasonal trend curve"
"Créer Variable Calculée","Create computed variable"
"Dimensions du Graphique","Plot dimensions"
"Disposition des couples","Pair layout"
"Eau à ajouter (Vf − Vi)","Water to add (Vf − Vi)"
"Échec de la connexion :","Connection failed:"
"Erreur filtre par plage","Range filter error"
"Exploration des Données","Data exploration"
"Exposition de référence","Reference exposure"
"F2D15 2 fois des 15 JAS","F2D15 twice from 15 DAS"
"F2D30 2 fois des 30 JAS","F2D30 twice from 30 DAS"
"F2D45 2 fois des 45 JAS","F2D45 twice from 45 DAS"
"F3D15 3 fois des 15 JAS","F3D15 three times from 15 DAS"
"F3D30 3 fois des 30 JAS","F3D30 three times from 30 DAS"
"Factorisation justifiée","Factorisation justified"
"Hyperparamètres retenus","Selected hyperparameters"
"L'application est prête","The application is ready"
"Loadings après rotation","Loadings after rotation"
"Marge d'erreur (unités)","Margin of error (units)"
"Mise à jour des valeurs","Updating values"
"Modèle non significatif","Model not significant"
"Nombre de modalités (k)","Number of categories (k)"
"Numéro de la composante","Component number"
"Par défaut: Traitements","Default: Treatments"
"Parcelles (répétitions)","Plots (replicates)"
"Pas de multicolinéarité","No multicollinearity"
"Prototypes des clusters","Cluster prototypes"
"Rapport (référence = 1)","Ratio (reference = 1)"
"Régression PLS / PLS-DA","PLS / PLS-DA regression"
"Résultat non disponible","Result not available"
"Risque chez non-exposés","Risk among unexposed"
"Sélection des variables","Variable selection"
"Sélection des Variables","Variable selection"
"Seuil de Kaiser (λ = 1)","Kaiser threshold (λ = 1)"
"Statistiques à calculer","Statistics to compute"
"Structure du dispositif","Design structure"
"Style des labels d'axes","Axis label style"
"Téléchargement réussi :","Download successful:"
"Test t à un échantillon","One-sample t-test"
"Test z à un échantillon","One-sample z-test"
"TP propre tout le cycle","TP clean whole cycle"
"Type de la variable X :","X variable type:"
"Valeurs propres par axe","Eigenvalues per axis"
"Variable catégorielle :","Categorical variable:"
"Variables catégorielles","Categorical variables"
"Variables temporelles :","Time variables:"
"1 réponse Y catégorielle","1 categorical Y response"
"3. Relations & inférence","3. Relationships & inference"
"Afficher les graduations","Show ticks"
"Analyse des interactions","Interaction analysis"
"Application des types...","Applying types..."
"Aucun facteur disponible","No factor available"
